Time,Node36_UX,Node107_UX
7.7,0.396833122,-0.210821898
7.71,0.396808578,-0.210787898
7.72,0.396750907,-0.210782565
7.73,0.396660523,-0.210805673
7.74,0.39654917,-0.2108457
7.75,0.396412274,-0.21090752
7.76,0.396237423,-0.211004458
7.77,0.396032212,-0.211129456
7.78,0.395810646,-0.211267827
7.79,0.395582735,-0.211409033
7.8,0.395347024,-0.211554296
7.81,0.395111736,-0.211694709
7.82,0.394893424,-0.211813634
7.83,0.394689131,-0.211914878
7.84,0.394502049,-0.211995648
7.85,0.394345182,-0.212043052
7.86,0.394210188,-0.212065653
7.87,0.394076667,-0.212084034
7.88,0.393930096,-0.212112861
7.89,0.393772395,-0.212150286
7.9,0.393617089,-0.212182865
7.91,0.393476494,-0.212198404
7.92,0.393370028,-0.21217766
7.93,0.393311824,-0.212106704
7.94,0.39328949,-0.21199822
7.95,0.393277441,-0.211878291
7.96,0.393265902,-0.211757207
7.97,0.393260936,-0.211628896
7.98,0.393261655,-0.211493964
7.99,0.393261322,-0.211359068
8,0.393263514,-0.211220633
8.01,0.393265285,-0.21108161
8.02,0.39325234,-0.210956328
8.03,0.393214981,-0.210854519
8.04,0.393162797,-0.21076664
8.05,0.393123233,-0.2106653
8.06,0.393091547,-0.210555293
8.07,0.393034036,-0.210470379
8.08,0.392934219,-0.210427089
8.09,0.392786775,-0.210430773
8.1,0.392564229,-0.210508879
8.11,0.392242085,-0.210685658
8.12,0.391844425,-0.210935832
8.13,0.391399098,-0.211231219
8.14,0.390919538,-0.211559658
8.15,0.39043094,-0.211896416
8.16,0.389946376,-0.212228434
8.17,0.389479872,-0.212541835
8.18,0.389050536,-0.212817595
8.19,0.388666557,-0.213047632
8.2,0.388336447,-0.213223517
8.21,0.38806064,-0.213344899
8.22,0.387845946,-0.21340504
8.23,0.387705965,-0.213390409
8.24,0.387621814,-0.21331996
8.25,0.387537255,-0.21325
8.26,0.387395232,-0.213237622
8.27,0.387151064,-0.213327487
8.28,0.386773103,-0.213551164
8.29,0.386269453,-0.213900469
8.3,0.385677048,-0.214338433
8.31,0.385027997,-0.214832969
8.32,0.384353225,-0.215353182
8.33,0.38367869,-0.215873137
8.34,0.383009821,-0.216387417
8.35,0.382346844,-0.216895803
8.36,0.381682687,-0.217405364
8.37,0.380996957,-0.217936491
8.38,0.380275599,-0.218503226
8.39,0.379507479,-0.219116689
8.4,0.37868848,-0.21978098
8.41,0.377838975,-0.220475709
8.42,0.376976886,-0.221182934
8.43,0.37610282,-0.221902036
8.44,0.375224867,-0.222624903
8.45,0.374344431,-0.223350116
8.46,0.373455245,-0.224083918
8.47,0.37257892,-0.224804677
8.48,0.371736348,-0.225491479
8.49,0.370923441,-0.22614839
8.5,0.370141601,-0.226773984
8.51,0.369389889,-0.227369177
8.52,0.368655499,-0.227946748
8.53,0.367926158,-0.228518943
8.54,0.367204388,-0.229083214
8.55,0.36648953,-0.229640188
8.56,0.365756118,-0.230215304
8.57,0.364994593,-0.230818089
8.58,0.364228161,-0.231425307
8.59,0.363481518,-0.232012229
8.6,0.362765023,-0.23256847
8.61,0.362077886,-0.23309479
8.62,0.361410065,-0.233601202
8.63,0.360753679,-0.234095561
8.64,0.360104466,-0.234582096
8.65,0.359448451,-0.235074755
8.66,0.358768519,-0.235590621
8.67,0.358060341,-0.236133991
8.68,0.357323703,-0.236705048
8.69,0.356544556,-0.237317811
8.7,0.355708408,-0.23798674
8.71,0.354820708,-0.238706356
8.72,0.353902568,-0.239455517
8.73,0.352977342,-0.240210842
8.74,0.352065862,-0.240951473
8.75,0.351190786,-0.241654729
8.76,0.350373213,-0.242299487
8.77,0.349620332,-0.242878538
8.78,0.348934768,-0.243389236
8.79,0.348325824,-0.243822258
8.8,0.347781031,-0.244190056
8.81,0.347280074,-0.244512926
8.82,0.346834017,-0.244779785
8.83,0.346446942,-0.244986535
8.84,0.34609984,-0.245152171
8.85,0.345772874,-0.245296513
8.86,0.345460509,-0.245425084
8.87,0.345180279,-0.245520334
8.88,0.344934312,-0.245580123
8.89,0.344710611,-0.245616439
8.9,0.34450349,-0.245634962
8.91,0.344297332,-0.245651296
8.92,0.344071788,-0.245685786
8.93,0.343820138,-0.245745138
8.94,0.343552817,-0.245818906
8.95,0.34329195,-0.245884955
