Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
4.87,3.989092375E-02,3.989494877E-02,-3.518621642E-02,-3.519491103E-02
4.88,4.003808983E-02,4.004272405E-02,-3.517176093E-02,-3.517981012E-02
4.89,4.018578869E-02,4.019096835E-02,-3.516127567E-02,-3.516876531E-02
4.9,4.032916745E-02,4.033483962E-02,-3.515930076E-02,-3.516630686E-02
4.91,4.04630292E-02,4.046911736E-02,-3.51707246E-02,-3.517734665E-02
4.92,4.058489573E-02,4.059130994E-02,-3.519773036E-02,-3.520408147E-02
4.93,4.069126797E-02,4.069792517E-02,-3.524353202E-02,-3.524971778E-02
4.94,4.078012681E-02,4.078693196E-02,-3.530987491E-02,-3.531601202E-02
4.95,4.085456521E-02,4.086143468E-02,-3.539340029E-02,-3.539959257E-02
4.96,4.092421944E-02,4.093111496E-02,-3.548420648E-02,-3.549051047E-02
4.97,4.099436706E-02,4.100131388E-02,-3.557673837E-02,-3.558314489E-02
4.98,4.107108692E-02,4.107812432E-02,-3.566462944E-02,-3.567111374E-02
4.99,4.117277261E-02,4.117997994E-02,-3.57291936E-02,-3.573568989E-02
5,4.130554399E-02,4.131310878E-02,-3.576400542E-02,-3.577033891E-02
5.01,4.146188331E-02,4.146995132E-02,-3.577626022E-02,-3.578229748E-02
5.02,4.163076665E-02,4.163938982E-02,-3.577665802E-02,-3.578236025E-02
5.03,4.179260601E-02,4.180176514E-02,-3.578446722E-02,-3.578986785E-02
5.04,4.194936573E-02,4.195893783E-02,-3.579742015E-02,-3.580265771E-02
5.05,4.212403182E-02,4.213400032E-02,-3.579223788E-02,-3.579734515E-02
5.06,4.231623994E-02,4.232673735E-02,-3.576892066E-02,-3.577377954E-02
5.07,4.250908093E-02,4.252013374E-02,-3.574358025E-02,-3.574816654E-02
5.08,4.268820557E-02,4.269972077E-02,-3.573007358E-02,-3.573451292E-02
5.09,4.284501783E-02,4.28568591E-02,-3.573730053E-02,-3.574179668E-02
5.1,4.300338096E-02,4.301542517E-02,-3.574144652E-02,-3.574615701E-02
5.11,4.320413487E-02,4.321649959E-02,-3.570145554E-02,-3.570627682E-02
5.12,4.344804471E-02,4.346104101E-02,-3.561634945E-02,-3.56209827E-02
