Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
6.09,28510.1084,30100529.1,8.286672505E-04,-4079460.99
6.1,150400.556,30091219.3,7.842554258E-04,-5086104.4
6.11,-173777.097,30081970.7,1.709031582E-03,-1934323.76
6.12,-165830.421,30072783.8,2.03692791E-03,-1307712.63
6.13,141231.86,30063646.6,1.535271106E-03,-3657613.81
6.14,345847.003,30054580.2,9.774471835E-04,-5806151.74
6.15,457426.346,30045599.2,4.830417773E-04,-7561463.12
6.16,-81987.1929,30036722.4,1.893553957E-03,-3030366.69
6.17,2458.44803,30027937.5,1.928975424E-03,-3368477.96
6.18,379750.88,30019230.6,9.517175127E-04,-6788889.14
6.19,294780.68,30010634.2,1.083236177E-03,-6593553.3
6.2,-227106.318,30002161.5,2.823502837E-03,-1800313.64
6.21,199429.695,29993770.4,1.790148085E-03,-5142772.38
6.22,50001.4492,29985477.9,2.377124006E-03,-3746992.01
6.23,125265.614,29977294,2.206674745E-03,-4333315.51
6.24,407948.513,29969187.7,1.176632528E-03,-7117870.51
6.25,311624.123,29961186.9,1.308732326E-03,-6840537.54
6.26,387900.679,29953277.2,8.961621902E-04,-8053935.49
6.27,383136.033,29945453,8.092760582E-04,-8582497.73
6.28,-111703.864,29937743.1,2.824015646E-03,-4176504.54
6.29,344830.909,29930102.1,1.406881557E-03,-8036354.34
6.3,566732.325,29922524.2,4.61093266E-04,-10636846.2
6.31,478602.292,29915044.2,5.759092973E-04,-10771587.1
6.32,735116.599,29907616.8,-6.37316318E-04,-14067826.5
6.33,512725.529,29900266.5,1.28406926E-04,-13131859
6.34,323689.128,29893008.5,1.109227616E-03,-11953315.3
6.35,-274303.031,29885868.4,4.325272032E-03,-6083969.79
6.36,-147192.891,29878808.8,4.837836993E-03,-5960176.02
6.37,158478.683,29871761.7,4.212442171E-03,-7906814.43
